Area,Bedrooms,Bathrooms,Stories,Parking,Price
1460,3,2,2,2,5593000
1894,1,2,1,3,5951000
1730,1,3,2,3,6663000
1695,4,3,1,2,6907000
2238,3,2,1,3,6000000
2769,3,3,1,3,7658000
1066,5,1,2,3,4938000
1838,3,1,2,3,5920000
930,3,2,2,3,4957000
2082,3,4,1,0,6521000
2735,2,2,2,3,7707000
730,5,2,2,0,4124000
2285,1,4,1,3,6838000
1369,4,4,3,2,6181000
2991,1,4,1,1,7568000
2115,5,1,2,0,5899000
3453,4,3,1,3,9376000
3033,5,1,3,2,9284000
1815,3,3,1,1,5690000
1555,4,1,2,0,6334000
2924,3,3,3,1,8835000
1784,1,1,2,2,4994000
1059,1,4,3,0,4420000
621,4,2,3,1,4683000
2900,4,1,1,3,7661000
1347,5,3,1,0,5830000
1074,5,4,2,1,7335000
1682,3,1,1,2,5134000
3158,4,1,1,2,8702000
2647,1,4,3,0,7348000
3347,5,1,1,1,8659000
1575,5,2,3,0,7032000
2406,1,1,3,0,5599000
789,5,2,3,1,5836000
3334,3,2,2,1,8970000
1162,4,4,2,3,6138000
2499,1,1,2,1,6283000
1867,4,4,3,2,8148000
3479,5,1,2,0,9242000
2128,5,1,2,0,5824000
1246,1,3,1,2,4266000
2668,3,1,2,1,6891000
3488,2,4,2,2,9645000
2814,1,2,3,2,7745000
1897,2,1,3,3,5995000
3035,2,3,3,2,8062000
1200,3,4,3,0,5931000
2963,2,1,3,2,7908000
2661,2,4,3,0,8292000
841,3,3,2,0,4900000
2641,2,3,3,0,7929000
3424,2,4,3,1,9820000
3212,2,1,1,3,7750000
1963,1,2,2,0,4536000
2739,1,3,2,0,7324000
1990,1,1,2,1,5175000
2078,3,1,3,0,6113000
3156,5,2,3,2,8906000
1375,2,3,3,2,5189000
634,2,3,1,3,4515000
2853,3,1,3,0,7368000
2555,2,1,1,1,6506000
2185,1,2,2,2,6096000
1621,5,2,3,1,6531000
3213,4,3,1,1,9406000
1729,2,4,1,2,6030000
2100,1,3,3,1,6473000
1302,4,1,2,2,4886000
3049,5,3,2,1,9093000
3377,4,4,2,2,10039000
2179,1,2,1,0,5522000
761,4,4,1,3,5204000
801,3,4,1,2,5507000
2581,4,4,1,2,8093000
1595,2,2,2,3,5487000
2917,2,4,3,2,8703000
1415,3,4,1,2,6698000
1055,1,4,1,1,4587000
1875,2,1,2,3,6089000
1616,5,4,3,0,6540000
2943,2,2,3,2,8168000
3367,2,4,2,3,10061000
937,1,4,2,1,4574000
1478,4,2,3,0,6190000
1676,2,4,1,3,6134000
1391,3,2,3,0,5838000
2864,4,4,2,0,9890000
1363,5,2,1,0,5190000
2835,1,4,1,2,7703000
979,5,4,2,2,6866000
1092,4,1,2,1,5226000
1780,4,1,2,1,5519000
2662,4,4,3,3,9153000
664,5,4,3,1,5568000
3168,4,3,1,0,8097000
1967,5,2,2,0,6277000
1752,4,3,1,2,6102000
2627,3,1,1,0,6133000
3295,4,1,1,3,8615000
2095,5,1,1,0,6326000
1762,2,1,2,0,5519000
2122,4,4,1,3,7420000
3240,2,1,2,1,8125000
991,3,4,2,1,5238000
2298,1,4,3,3,7614000
1018,3,1,2,2,4536000
2936,4,1,3,0,7380000
978,2,2,2,3,4632000
2396,2,3,2,0,6938000
2878,5,1,2,2,8502000
2688,2,2,3,0,7319000
2782,5,2,3,3,10112000
800,1,3,1,0,3103000
2463,4,4,3,1,8344000
1379,5,1,3,2,5552000
1102,1,3,3,2,4584000
3054,2,1,3,2,7510000
2351,2,2,1,3,7217000
1404,1,2,3,2,5566000
2746,2,4,2,1,7886000
3331,1,2,2,3,7971000
2495,5,2,3,1,8303000
3373,5,3,3,0,9673000
2170,1,1,2,0,5491000
1560,5,1,2,0,5599000
3260,5,3,1,0,8536000
2085,5,4,2,1,8699000
3290,3,1,2,3,9330000
1628,4,2,3,3,6305000
1102,2,1,2,2,3859000
3414,3,2,1,1,8674000
997,5,4,2,0,5995000
1470,1,3,3,1,5592000
3442,5,1,3,2,10450000
992,4,3,2,2,5356000
806,5,1,3,1,4242000
1638,1,2,1,1,4028000
2481,4,3,1,1,7337000
2084,5,1,2,3,7036000
1463,4,2,2,0,6241000
3390,2,3,2,1,8619000
1163,2,3,3,1,5194000
1620,5,1,1,1,5559000
695,4,1,1,2,4286000
2523,1,1,3,2,7629000
2357,5,2,1,3,7504000
3132,2,1,2,0,7067000
2878,2,3,2,3,8800000
3396,5,3,2,0,10020000
2278,4,1,1,2,7431000
1140,2,1,2,2,4365000
